top - 14:36:42 up  4:12, 11 users,  load average: 0.66, 0.62, 0.67
Tasks: 180 total,   2 running, 178 sleeping,   0 stopped,   0 zombie
%Cpu(s):  3.6 us,  8.8 sy,  0.0 ni, 87.5 id,  0.1 wa,  0.0 hi,  0.0 si,  0.0 st
  799 root      20   0   29008   2964   2680 S   0.0  0.0   0:00.00 cron
  802 avahi     20   0   57564   4068   3244 S   0.0  0.0   0:01.04 avahi-daemon
  809 whoopsie  20   0  378472  12656  10948 S   0.0  0.1   0:00.01 whoopsie
  811 root      20   0  466000  17176  14448 S   0.0  0.1   0:00.16 NetworkManager
  813 root      20   0  535696  26896  13832 S   0.0  0.2   0:00.35 snapd
  824 avahi     20   0   57036    356     12 S   0.0  0.0   0:00.00 avahi-daemon
  838 root       0 -20       0      0      0 S   0.0  0.0   0:00.03 kworker/7:1H
  886 root      20   0   19572   2244   1952 S   0.0  0.0   0:00.34 irqbalance
  897 root       0 -20       0      0      0 S   0.0  0.0   0:00.02 kworker/5:1H
  905 root       0 -20       0      0      0 S   0.0  0.0   0:00.05 kworker/4:1H
  918 root      20   0  217152  22452  15784 S   0.0  0.1   0:01.17 sssd_be
  935 root      20   0   65520   5364   4672 S   0.0  0.0   0:00.00 sshd
  937 root      20   0   71544   5380   4868 S   0.0  0.0   0:00.00 oddjobd
  945 root      20   0  189668  38600  37056 S   0.0  0.2   0:00.22 sssd_nss
  946 root      20   0  169024   8012   6884 S   0.0  0.0   0:00.09 sssd_pam
  949 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 bioset
  952 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 bioset
  953 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 bioset
  954 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 bioset
  958 root      20   0   38964   3348   2884 S   0.0  0.0   0:00.09 systemd-logind
 1027 root      20   0  107204   4096   3492 S   0.0  0.0   0:00.00 login
 1092 root       0 -20       0      0      0 S   0.0  0.0   0:00.04 kworker/6:1H
 1285 root      20   0   20368   3820   2932 S   0.0  0.0   0:00.00 dhclient
 1370 nobody    20   0   52868   4268   3872 S   0.0  0.0   0:00.08 dnsmasq
